age,annual_income,employment_type,investment_horizon,risk_tolerance_score,financial_goal,dependents,tax_bracket,preferred_liquidity,investment_knowledge,recommended_product,recommended_product_full
54,878776,Salaried,18,2,Tax Saving,0,5–10L,High,Intermediate,NPS,National Pension System
32,1612667,Self-employed,24,3,Emergency,2,>15L,High,Expert,NSC,National Savings Certificate
22,1318482,Retired,1,4,Wealth Creation,1,10–15L,Low,Expert,Combo,Mixed Investment Portfolio
44,1282453,Self-employed,2,5,Child Education,1,10–15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
22,2443689,Retired,20,4,Emergency,1,>15L,Low,Beginner,PPF,Public Provident Fund
24,838908,Student,2,7,Child Education,0,5–10L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
30,704982,Retired,2,8,Wealth Creation,1,5–10L,High,Expert,Combo,Mixed Investment Portfolio
47,1895033,Salaried,19,1,Emergency,1,>15L,Low,Intermediate,NPS,National Pension System
58,565232,Self-employed,4,3,Emergency,3,5–10L,Medium,Beginner,NSC,National Savings Certificate
32,1693807,Self-employed,2,3,Wealth Creation,3,>15L,Low,Expert,NSC,National Savings Certificate
58,1508610,Salaried,16,10,Child Education,0,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
39,708030,Salaried,2,10,Emergency,3,5–10L,Low,Beginner,NPS,National Pension System
47,1546135,Retired,17,5,Retirement,0,>15L,High,Beginner,NPS,National Pension System
57,787268,Retired,16,8,Tax Saving,3,5–10L,High,Expert,ELSS,Equity Linked Savings Scheme
52,1299787,Self-employed,6,2,Emergency,2,10–15L,Medium,Beginner,NSC,National Savings Certificate
47,372981,Self-employed,24,6,Child Education,1,<5L,Low,Expert,PPF,Public Provident Fund
36,1542342,Student,1,10,Tax Saving,1,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
47,377474,Self-employed,17,8,Emergency,2,<5L,High,Expert,ELSS,Equity Linked Savings Scheme
46,1542538,Self-employed,23,10,Retirement,1,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
36,1722889,Salaried,23,10,Tax Saving,1,>15L,High,Beginner,ELSS,Equity Linked Savings Scheme
55,683352,Salaried,15,9,Tax Saving,3,5–10L,Low,Expert,ELSS,Equity Linked Savings Scheme
52,2409351,Retired,15,4,Wealth Creation,3,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
34,372306,Self-employed,20,1,Emergency,0,<5L,Medium,Beginner,NSC,National Savings Certificate
38,2429974,Student,2,9,Tax Saving,0,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
46,1626289,Salaried,14,3,Tax Saving,0,>15L,Medium,Beginner,NPS,National Pension System
25,826259,Self-employed,8,10,Retirement,1,5–10L,Low,Beginner,ELSS,Equity Linked Savings Scheme
34,811163,Self-employed,24,4,Wealth Creation,3,5–10L,Low,Intermediate,PPF,Public Provident Fund
55,1849019,Retired,14,4,Child Education,3,>15L,Low,Expert,PPF,Public Provident Fund
38,551585,Student,2,2,Emergency,0,5–10L,Medium,Beginner,NSC,National Savings Certificate
34,1572193,Self-employed,3,10,Tax Saving,2,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
42,731813,Self-employed,2,4,Child Education,3,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
40,2176136,Self-employed,1,9,Wealth Creation,0,>15L,High,Expert,Combo,Mixed Investment Portfolio
39,1667524,Salaried,22,5,Emergency,2,>15L,Medium,Intermediate,NPS,National Pension System
38,736363,Self-employed,9,4,Child Education,0,5–10L,Low,Expert,SSY,Sukanya Samriddhi Yojana
36,1969857,Self-employed,20,1,Wealth Creation,3,>15L,Low,Beginner,PPF,Public Provident Fund
37,1207842,Self-employed,3,2,Emergency,1,10–15L,Low,Intermediate,NSC,National Savings Certificate
52,1292669,Self-employed,1,9,Retirement,2,10–15L,Medium,Expert,NPS,National Pension System
48,629649,Salaried,3,6,Retirement,3,5–10L,High,Expert,NPS,National Pension System
52,1950812,Salaried,13,1,Retirement,3,>15L,High,Beginner,NPS,National Pension System
58,1597068,Salaried,24,3,Tax Saving,0,>15L,Medium,Beginner,NPS,National Pension System
31,1111147,Self-employed,20,5,Emergency,1,10–15L,Medium,Beginner,Combo,Mixed Investment Portfolio
22,848513,Self-employed,3,4,Child Education,1,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
55,970528,Self-employed,20,2,Wealth Creation,2,5–10L,Low,Beginner,PPF,Public Provident Fund
28,543533,Salaried,15,3,Child Education,3,5–10L,Low,Intermediate,NPS,National Pension System
30,1299168,Student,8,6,Retirement,1,10–15L,Low,Intermediate,NPS,National Pension System
35,580570,Self-employed,10,2,Child Education,0,5–10L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
51,1668268,Self-employed,23,5,Emergency,1,>15L,Low,Intermediate,PPF,Public Provident Fund
59,390638,Retired,7,9,Child Education,1,<5L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
38,1989329,Self-employed,24,6,Tax Saving,1,>15L,Low,Beginner,PPF,Public Provident Fund
58,1669414,Self-employed,24,3,Tax Saving,2,>15L,Low,Expert,PPF,Public Provident Fund
57,803015,Self-employed,10,5,Child Education,2,5–10L,High,Beginner,SSY,Sukanya Samriddhi Yojana
30,1854026,Self-employed,3,9,Tax Saving,2,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
25,2151498,Self-employed,18,2,Wealth Creation,3,>15L,High,Beginner,NSC,National Savings Certificate
22,2294719,Self-employed,23,8,Tax Saving,3,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
36,1246532,Self-employed,19,9,Child Education,2,10–15L,High,Expert,ELSS,Equity Linked Savings Scheme
38,1187518,Salaried,16,7,Child Education,0,10–15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
35,527993,Self-employed,21,4,Tax Saving,0,5–10L,High,Expert,Combo,Mixed Investment Portfolio
28,1628404,Salaried,19,8,Retirement,3,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
37,2207714,Salaried,5,9,Wealth Creation,3,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
46,304554,Salaried,11,10,Wealth Creation,2,<5L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
56,342491,Student,20,3,Wealth Creation,0,<5L,Medium,Intermediate,NSC,National Savings Certificate
31,1761121,Salaried,2,5,Tax Saving,3,>15L,High,Expert,NPS,National Pension System
59,1084646,Self-employed,12,1,Tax Saving,1,10–15L,Medium,Intermediate,NSC,National Savings Certificate
37,839989,Self-employed,10,7,Child Education,0,5–10L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
52,638325,Self-employed,19,5,Tax Saving,1,5–10L,High,Beginner,Combo,Mixed Investment Portfolio
33,1058003,Salaried,3,2,Retirement,1,10–15L,Low,Intermediate,NPS,National Pension System
38,2448395,Self-employed,23,10,Emergency,1,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
43,2250471,Student,8,4,Emergency,3,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
35,1133420,Student,2,3,Wealth Creation,1,10–15L,High,Intermediate,NSC,National Savings Certificate
47,854236,Student,2,1,Tax Saving,2,5–10L,High,Expert,NSC,National Savings Certificate
48,983303,Retired,17,6,Child Education,1,5–10L,Low,Intermediate,PPF,Public Provident Fund
22,1474602,Retired,3,3,Retirement,0,10–15L,Low,Intermediate,NPS,National Pension System
42,929382,Self-employed,9,6,Emergency,1,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
39,774200,Salaried,21,6,Wealth Creation,1,5–10L,Low,Intermediate,NPS,National Pension System
26,2291633,Retired,6,5,Child Education,1,>15L,Low,Intermediate,SSY,Sukanya Samriddhi Yojana
32,343815,Salaried,5,1,Retirement,3,<5L,Low,Intermediate,NPS,National Pension System
22,1306648,Retired,24,2,Emergency,0,10–15L,Medium,Expert,NSC,National Savings Certificate
51,688826,Self-employed,21,6,Tax Saving,2,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
59,1198202,Self-employed,10,3,Tax Saving,0,10–15L,Low,Intermediate,PPF,Public Provident Fund
49,2127753,Retired,12,9,Emergency,2,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
31,2351562,Self-employed,3,5,Wealth Creation,1,>15L,Low,Beginner,Combo,Mixed Investment Portfolio
25,1159254,Self-employed,3,6,Emergency,0,10–15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
50,2071571,Self-employed,2,7,Child Education,0,>15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
42,1918629,Self-employed,8,5,Emergency,2,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
32,1117495,Student,22,6,Wealth Creation,2,10–15L,Low,Intermediate,PPF,Public Provident Fund
44,2011463,Salaried,6,7,Wealth Creation,3,>15L,High,Expert,ELSS,Equity Linked Savings Scheme
58,734242,Self-employed,24,2,Child Education,0,5–10L,Low,Expert,PPF,Public Provident Fund
37,1403754,Self-employed,20,1,Tax Saving,2,10–15L,Medium,Intermediate,NSC,National Savings Certificate
29,1067809,Salaried,14,1,Wealth Creation,0,10–15L,Medium,Beginner,NPS,National Pension System
27,1942095,Retired,11,5,Tax Saving,2,>15L,High,Beginner,Combo,Mixed Investment Portfolio
36,1163376,Self-employed,9,1,Tax Saving,2,10–15L,Medium,Expert,NSC,National Savings Certificate
24,2493593,Salaried,3,6,Child Education,2,>15L,Medium,Intermediate,NPS,National Pension System
31,2268776,Self-employed,2,3,Wealth Creation,2,>15L,High,Beginner,NSC,National Savings Certificate
27,1068323,Student,5,2,Child Education,1,10–15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
59,1284445,Salaried,23,7,Tax Saving,3,10–15L,Low,Expert,ELSS,Equity Linked Savings Scheme
52,479594,Student,11,1,Tax Saving,3,<5L,High,Intermediate,NSC,National Savings Certificate
27,2345476,Student,21,10,Child Education,3,>15L,High,Intermediate,ELSS,Equity Linked Savings Scheme
40,1585588,Self-employed,19,8,Retirement,1,>15L,High,Expert,ELSS,Equity Linked Savings Scheme
36,1920618,Self-employed,11,3,Wealth Creation,3,>15L,Medium,Beginner,NSC,National Savings Certificate
27,1396878,Self-employed,11,4,Wealth Creation,2,10–15L,High,Beginner,Combo,Mixed Investment Portfolio
43,592042,Salaried,9,6,Child Education,3,5–10L,High,Beginner,NPS,National Pension System
34,1575285,Retired,21,1,Emergency,3,>15L,Medium,Intermediate,NSC,National Savings Certificate
42,621366,Student,19,1,Child Education,3,5–10L,High,Expert,SSY,Sukanya Samriddhi Yojana
35,741014,Salaried,1,9,Tax Saving,1,5–10L,Low,Intermediate,NPS,National Pension System
29,2011519,Self-employed,10,2,Tax Saving,3,>15L,Low,Beginner,PPF,Public Provident Fund
58,340615,Salaried,21,6,Emergency,3,<5L,Low,Beginner,NPS,National Pension System
51,2067666,Salaried,24,9,Emergency,3,>15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
57,2209052,Student,2,5,Emergency,0,>15L,High,Expert,Combo,Mixed Investment Portfolio
26,1832999,Retired,7,6,Child Education,2,>15L,Low,Beginner,SSY,Sukanya Samriddhi Yojana
32,941518,Self-employed,7,2,Emergency,2,5–10L,Low,Intermediate,NSC,National Savings Certificate
31,2125401,Self-employed,10,8,Retirement,1,>15L,Medium,Intermediate,ELSS,Equity Linked Savings Scheme
50,607957,Self-employed,20,3,Tax Saving,2,5–10L,Low,Beginner,PPF,Public Provident Fund
31,1827705,Salaried,14,9,Wealth Creation,2,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
34,2284197,Salaried,11,8,Tax Saving,2,>15L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
37,1415049,Self-employed,5,4,Child Education,0,10–15L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
43,1121079,Self-employed,13,4,Child Education,2,10–15L,High,Expert,SSY,Sukanya Samriddhi Yojana
33,582460,Self-employed,8,6,Wealth Creation,1,5–10L,Low,Expert,Combo,Mixed Investment Portfolio
34,1069893,Salaried,22,9,Retirement,1,10–15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
28,1561999,Salaried,1,2,Child Education,1,>15L,Low,Intermediate,NPS,National Pension System
30,800499,Student,16,2,Tax Saving,1,5–10L,Medium,Expert,NSC,National Savings Certificate
23,1781106,Salaried,24,4,Child Education,1,>15L,Medium,Expert,NPS,National Pension System
53,1829614,Student,17,5,Emergency,1,>15L,Low,Intermediate,PPF,Public Provident Fund
58,782974,Retired,9,3,Child Education,3,5–10L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
22,1170442,Self-employed,4,7,Tax Saving,1,10–15L,High,Expert,ELSS,Equity Linked Savings Scheme
35,1679671,Retired,8,6,Tax Saving,1,>15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
35,1852844,Self-employed,2,5,Child Education,0,>15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
49,2281433,Salaried,5,1,Emergency,1,>15L,Medium,Intermediate,NPS,National Pension System
30,1107977,Salaried,14,8,Retirement,1,10–15L,High,Expert,ELSS,Equity Linked Savings Scheme
34,1926885,Self-employed,12,2,Wealth Creation,0,>15L,Medium,Intermediate,NSC,National Savings Certificate
45,335241,Self-employed,17,6,Tax Saving,0,<5L,Low,Beginner,PPF,Public Provident Fund
37,2456995,Salaried,3,3,Wealth Creation,1,>15L,Medium,Expert,NPS,National Pension System
33,2322995,Self-employed,19,3,Emergency,3,>15L,Low,Expert,PPF,Public Provident Fund
32,2139196,Self-employed,8,9,Child Education,3,>15L,Low,Intermediate,ELSS,Equity Linked Savings Scheme
28,536999,Student,17,7,Tax Saving,1,5–10L,High,Beginner,ELSS,Equity Linked Savings Scheme
36,1287647,Self-employed,5,4,Emergency,1,10–15L,Low,Intermediate,Combo,Mixed Investment Portfolio
40,1764895,Retired,20,6,Child Education,2,>15L,Low,Expert,PPF,Public Provident Fund
28,564336,Self-employed,21,4,Retirement,2,5–10L,High,Intermediate,NPS,National Pension System
32,520708,Retired,24,2,Emergency,3,5–10L,Low,Beginner,PPF,Public Provident Fund
29,2346303,Salaried,14,10,Wealth Creation,2,>15L,Medium,Expert,ELSS,Equity Linked Savings Scheme
42,1835818,Self-employed,7,5,Tax Saving,0,>15L,Medium,Beginner,Combo,Mixed Investment Portfolio
26,1483123,Self-employed,18,5,Child Education,3,10–15L,High,Expert,SSY,Sukanya Samriddhi Yojana
51,953077,Self-employed,8,4,Child Education,2,5–10L,Low,Expert,SSY,Sukanya Samriddhi Yojana
43,1518851,Self-employed,17,1,Child Education,0,>15L,Low,Beginner,PPF,Public Provident Fund
57,1297899,Self-employed,11,9,Wealth Creation,2,10–15L,Low,Beginner,ELSS,Equity Linked Savings Scheme
25,1682352,Retired,7,6,Child Education,0,>15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
53,610027,Retired,11,9,Child Education,1,5–10L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
48,307645,Salaried,4,9,Tax Saving,1,<5L,Medium,Beginner,ELSS,Equity Linked Savings Scheme
37,2135653,Salaried,1,8,Tax Saving,0,>15L,High,Intermediate,NPS,National Pension System
31,673555,Self-employed,21,6,Wealth Creation,2,5–10L,Medium,Intermediate,Combo,Mixed Investment Portfolio
59,2133136,Self-employed,24,5,Wealth Creation,1,>15L,Low,Expert,PPF,Public Provident Fund
53,2210829,Salaried,13,8,Wealth Creation,2,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
31,1357672,Self-employed,21,6,Child Education,3,10–15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
31,1128426,Salaried,21,4,Wealth Creation,0,10–15L,High,Intermediate,NPS,National Pension System
37,1445202,Self-employed,22,5,Child Education,1,10–15L,High,Beginner,SSY,Sukanya Samriddhi Yojana
54,954735,Self-employed,24,3,Tax Saving,0,5–10L,Medium,Beginner,NSC,National Savings Certificate
31,2490754,Student,4,3,Wealth Creation,2,>15L,Low,Expert,NSC,National Savings Certificate
24,2352578,Retired,17,3,Child Education,1,>15L,Low,Expert,PPF,Public Provident Fund
59,2295187,Retired,3,4,Child Education,3,>15L,Medium,Beginner,SSY,Sukanya Samriddhi Yojana
51,305337,Student,23,1,Child Education,3,<5L,Medium,Intermediate,SSY,Sukanya Samriddhi Yojana
53,637060,Salaried,17,5,Wealth Creation,2,5–10L,High,Expert,NPS,National Pension System
29,2011519,Self-employed,10,2,Tax Saving,3,>15L,Low,Beginner,PPF,Public Provident Fund
57,1886936,Retired,24,6,Child Education,2,>15L,Medium,Expert,SSY,Sukanya Samriddhi Yojana
26,1309237,Student,1,10,Tax Saving,3,10–15L,Low,Beginner,Combo,Mixed Investment Portfolio
43,374745,Self-employed,15,6,Wealth Creation,0,<5L,Low,Expert,PPF,Public Provident Fund
53,1587679,Self-employed,3,2,Child Education,3,>15L,Low,Beginner,SSY,Sukanya Samriddhi Yojana
23,408644,Self-employed,21,2,Wealth Creation,2,<5L,Low,Beginner,PPF,Public Provident Fund
48,2118594,Retired,14,3,Wealth Creation,2,>15L,Medium,Expert,NSC,National Savings Certificate
31,1889846,Self-employed,16,6,Tax Saving,1,>15L,High,Beginner,Combo,Mixed Investment Portfolio
36,348316,Salaried,16,4,Retirement,1,<5L,Medium,Intermediate,NPS,National Pension System
52,2396345,Salaried,10,10,Emergency,2,>15L,High,Expert,ELSS,Equity Linked Savings Scheme
31,2163762,Student,10,5,Tax Saving,3,>15L,High,Intermediate,Combo,Mixed Investment Portfolio
43,1649507,Retired,15,4,Tax Saving,3,>15L,Medium,Expert,Combo,Mixed Investment Portfolio
33,681817,Self-employed,22,4,Emergency,2,5–10L,Medium,Beginner,Combo,Mixed Investment Portfolio
44,760498,Salaried,22,4,Wealth Creation,3,5–10L,Medium,Beginner,NPS,National Pension System
33,2226153,Self-employed,10,3,Child Education,1,>15L,High,Intermediate,SSY,Sukanya Samriddhi Yojana
37,651114,Student,17,5,Wealth Creation,1,5–10L,Low,Intermediate,PPF,Public Provident Fund
29,2123821,Salaried,9,10,Retirement,1,>15L,Low,Expert,ELSS,Equity Linked Savings Scheme
35,500733,Student,7,5,Child Education,0,5–10L,Low,Expert,SSY,Sukanya Samriddhi Yojana
22,719040,Salaried,23,4,Tax Saving,0,5–10L,Medium,Beginner,NPS,National Pension System
49,1009226,Self-employed,16,3,Emergency,0,10–15L,High,Intermediate,NSC,National Savings Certificate
49,350044,Salaried,17,1,Child Education,0,<5L,Low,Expert,NPS,National Pension System
56,1730954,Self-employed,1,10,Emergency,2,>15L,Medium,Intermediate,Combo,Mixed Investment Portfolio
